content_metric_id,metric_date,content_id,impressions,play_count,watch_seconds,interaction_count,play_rate,completion_rate
CM00000926,2026-07-11,V00013601,5,3,290,1,0.6,0.6576
CM00000927,2026-08-10,V00009697,6,3,22,0,0.5,0.9167
CM00000928,2026-01-10,V00008219,15,4,252,1,0.2667,0.4375
CM00000929,2026-07-24,V00009390,8,3,269,0,0.375,0.7599
CM00000930,2026-03-31,V00006323,14,6,485,1,0.4286,0.5084
CM00000931,2026-04-11,V00005466,10,5,215,0,0.5,0.43
CM00000932,2026-06-08,V00014116,9,2,177,0,0.2222,0.5463
CM00000933,2026-02-21,V00009533,13,8,666,0,0.6154,0.5441
CM00000934,2026-08-07,V00012571,11,5,196,1,0.4545,0.7127
CM00000935,2026-04-22,V00011111,14,4,89,1,0.2857,0.3477
CM00000936,2026-08-11,V00003093,5,1,32,0,0.2,0.5818
CM00000937,2026-08-11,V00010154,12,0,0,0,0.0,0.0
CM00000938,2026-03-29,V00011768,12,7,920,1,0.5833,0.8318
CM00000939,2026-03-16,V00004792,8,1,53,0,0.125,0.53
CM00000940,2026-08-03,V00012021,3,0,0,0,0.0,0.0
CM00000941,2026-06-28,V00001022,8,2,62,0,0.25,0.2583
CM00000942,2026-04-09,V00011343,6,3,221,1,0.5,0.5893
CM00000943,2026-06-12,V00003011,9,1,85,0,0.1111,0.5556
CM00000944,2026-08-13,V00005091,10,4,420,0,0.4,0.8468
CM00000945,2026-04-12,V00013365,12,2,173,0,0.1667,0.7149
CM00000946,2026-08-25,V00011465,5,3,525,1,0.6,1.0
CM00000947,2026-07-18,V00007223,8,3,97,1,0.375,0.4145
CM00000948,2026-08-08,V00011267,14,7,475,1,0.5,0.5751
CM00000949,2026-04-29,V00007138,9,2,146,0,0.2222,0.6952
CM00000950,2026-01-15,V00005410,6,4,239,0,0.6667,0.5432
CM00000951,2026-08-16,V00003087,13,6,451,1,0.4615,0.4474
CM00000952,2026-05-29,V00000600,9,5,50,2,0.5556,0.625
CM00000953,2026-08-27,V00007587,15,4,377,2,0.2667,0.8341
CM00000954,2026-05-13,V00012845,10,6,552,2,0.6,0.6667
CM00000955,2026-02-20,V00013294,8,1,26,0,0.125,0.2737
CM00000956,2026-06-08,V00010053,11,2,24,0,0.1818,0.2667
CM00000957,2026-08-08,V00009003,10,3,85,0,0.3,0.787
CM00000958,2026-07-01,V00002135,8,3,30,0,0.375,0.3125
CM00000959,2026-03-01,V00008431,12,2,50,0,0.1667,0.2033
CM00000960,2026-07-02,V00012775,8,2,31,0,0.25,0.0957
CM00000961,2026-03-11,V00010671,4,1,95,1,0.25,0.6884
CM00000962,2026-02-24,V00006419,11,5,201,1,0.4545,0.5025
CM00000963,2026-08-18,V00009821,5,2,111,0,0.4,0.5904
CM00000964,2026-04-12,V00009194,13,5,278,0,0.3846,0.6864
CM00000965,2026-03-20,V00013756,7,4,138,2,0.5714,0.69
CM00000966,2026-07-30,V00003619,5,1,30,1,0.2,0.5455
CM00000967,2026-05-25,V00011410,8,5,347,2,0.625,0.9378
CM00000968,2026-07-21,V00003493,6,1,20,0,0.1667,0.2299
CM00000969,2026-08-05,V00008424,19,2,60,0,0.1053,0.5455
CM00000970,2026-08-28,V00007641,6,2,57,0,0.3333,0.7917
CM00000971,2026-04-29,V00008579,5,1,79,0,0.2,0.4877
CM00000972,2026-03-08,V00013759,8,2,92,0,0.25,0.4742
CM00000973,2026-06-16,V00006080,8,2,77,0,0.25,0.7549
CM00000974,2026-08-28,V00000862,12,8,649,0,0.6667,0.7876
CM00000975,2026-06-05,V00003187,10,2,48,0,0.2,0.8
CM00000976,2026-04-14,V00005914,10,8,655,2,0.8,0.8804
CM00000977,2026-06-27,V00001297,6,4,407,0,0.6667,0.5916
CM00000978,2026-08-25,V00010545,5,4,319,1,0.8,0.6758
CM00000979,2026-06-05,V00000309,10,7,607,1,0.7,0.598
CM00000980,2026-04-26,V00004435,8,2,64,0,0.25,0.1818
CM00000981,2026-06-18,V00004989,5,1,10,0,0.2,0.7143
CM00000982,2026-08-09,V00001955,8,2,154,0,0.25,0.6754
CM00000983,2026-08-03,V00003186,9,3,186,1,0.3333,0.6667
CM00000984,2026-04-20,V00009930,17,5,26,0,0.2941,0.65
CM00000985,2026-01-27,V00012685,8,4,602,0,0.5,0.875
CM00000986,2026-01-01,V00006090,12,5,44,0,0.4167,0.352
CM00000987,2026-02-13,V00003472,3,3,125,0,1.0,0.5274
CM00000988,2026-06-26,V00009415,9,4,322,0,0.4444,0.5261
CM00000989,2026-05-03,V00011441,11,2,199,1,0.1818,0.7595
CM00000990,2026-08-25,V00008989,14,6,264,0,0.4286,0.3894
CM00000991,2026-03-19,V00004796,12,3,77,1,0.25,0.6111
CM00000992,2026-08-25,V00001775,10,5,156,2,0.5,0.7091
CM00000993,2026-05-11,V00010476,9,4,159,2,0.4444,0.7361
CM00000994,2026-05-28,V00013007,8,4,380,1,0.5,0.5556
CM00000995,2026-05-20,V00014748,11,5,409,0,0.4545,0.7574
CM00000996,2026-07-12,V00009926,11,5,437,0,0.4545,0.6882
CM00000997,2026-02-18,V00002728,9,4,208,0,0.4444,0.52
CM00000998,2026-05-21,V00014403,8,1,27,0,0.125,0.25
CM00000999,2026-04-29,V00005245,9,1,69,0,0.1111,0.5188
CM00001000,2026-05-21,V00011244,9,4,278,2,0.4444,0.7394
CM00001001,2026-06-07,V00009870,15,6,171,0,0.4,0.4597
CM00001002,2026-04-22,V00002930,8,6,339,1,0.75,0.7958
CM00001003,2026-02-11,V00010826,6,4,408,0,0.6667,0.6375
CM00001004,2026-05-26,V00002936,5,0,0,0,0.0,0.0
CM00001005,2026-01-24,V00013082,10,6,244,0,0.6,0.7531
CM00001006,2026-05-14,V00008716,10,3,323,0,0.3,0.6049
CM00001007,2026-08-16,V00009346,9,4,407,0,0.4444,0.7537
CM00001008,2026-07-12,V00011044,8,4,418,1,0.5,0.7464
CM00001009,2026-08-21,V00010767,9,5,603,0,0.5556,0.7354
CM00001010,2026-07-25,V00011525,15,8,496,0,0.5333,0.5391
CM00001011,2026-04-08,V00003139,11,6,371,1,0.5455,0.8961
CM00001012,2026-03-11,V00012145,10,3,423,1,0.3,0.9276
CM00001013,2026-04-21,V00010512,7,2,162,0,0.2857,0.5364
CM00001014,2026-07-21,V00000892,12,4,173,0,0.3333,0.4651
CM00001015,2026-01-19,V00012014,11,5,336,1,0.4545,0.5376
CM00001016,2026-06-18,V00007497,9,4,49,0,0.4444,0.8167
CM00001017,2026-07-08,V00000834,7,2,106,0,0.2857,0.7465
CM00001018,2026-08-28,V00014828,15,3,111,1,0.2,0.2913
CM00001019,2026-08-24,V00005229,7,2,9,0,0.2857,0.45
CM00001020,2026-06-04,V00010141,9,5,58,0,0.5556,0.6105
CM00001021,2026-07-11,V00004958,6,1,5,0,0.1667,0.0439
CM00001022,2026-05-12,V00007888,6,1,153,0,0.1667,0.9107
CM00001023,2026-05-12,V00014994,7,1,104,1,0.1429,0.782
CM00001024,2026-05-20,V00007447,9,3,133,2,0.3333,0.403
CM00001025,2026-07-20,V00002004,8,4,134,2,0.5,0.5492
CM00001026,2026-06-21,V00005533,10,1,1,0,0.1,0.0588
CM00001027,2026-05-17,V00014678,5,3,59,0,0.6,0.4184
CM00001028,2026-08-27,V00012965,10,3,118,1,0.3,0.7152
CM00001029,2026-07-10,V00010403,9,4,58,1,0.4444,0.725
CM00001030,2026-08-01,V00000833,4,2,222,0,0.5,0.7551
CM00001031,2026-01-09,V00001484,7,5,498,0,0.7143,0.8586
CM00001032,2026-08-11,V00012865,14,6,395,1,0.4286,0.4636
CM00001033,2026-07-23,V00004276,9,4,92,0,0.4444,0.4694
CM00001034,2026-01-09,V00013280,6,3,202,0,0.5,0.6066
CM00001035,2026-02-24,V00005160,5,2,7,1,0.4,0.4375
CM00001036,2026-04-05,V00006124,8,2,97,1,0.25,0.7462
CM00001037,2026-08-24,V00009604,13,4,331,1,0.3077,0.7323
CM00001038,2026-07-28,V00009120,9,4,268,0,0.4444,0.7528
CM00001039,2026-02-28,V00000929,7,1,30,0,0.1429,0.3947
CM00001040,2026-03-19,V00002181,5,2,15,1,0.4,0.3947
CM00001041,2026-03-25,V00014246,7,2,215,0,0.2857,0.6476
CM00001042,2026-06-01,V00009923,5,2,62,1,0.4,0.2743
CM00001043,2026-03-16,V00004593,10,5,190,0,0.5,0.3455
CM00001044,2026-08-09,V00001489,10,3,94,0,0.3,0.5137
CM00001045,2026-05-25,V00000958,6,1,18,0,0.1667,0.5
CM00001046,2026-07-07,V00010804,11,1,12,0,0.0909,0.0857
CM00001047,2026-07-04,V00003638,13,6,341,2,0.4615,0.7478
CM00001048,2026-01-30,V00002743,11,5,145,0,0.4545,0.9355
CM00001049,2026-08-06,V00013596,5,4,59,1,0.8,0.3688
CM00001050,2026-08-19,V00014067,7,2,116,0,0.2857,0.5421
CM00001051,2026-08-04,V00005068,13,6,439,2,0.4615,0.5117
CM00001052,2026-05-19,V00002119,8,2,10,0,0.25,0.2083
CM00001053,2026-01-02,V00000903,11,2,125,0,0.1818,0.6944
CM00001054,2026-01-14,V00004303,12,7,474,1,0.5833,0.7204
CM00001055,2026-08-07,V00000734,4,0,0,0,0.0,0.0
CM00001056,2026-01-18,V00001162,10,4,171,0,0.4,0.7917
CM00001057,2026-01-17,V00013144,17,4,304,0,0.2353,0.7037
CM00001058,2026-07-17,V00012648,10,1,79,0,0.1,0.9875
CM00001059,2026-05-28,V00010848,11,6,252,1,0.5455,0.3529
CM00001060,2026-07-24,V00014163,6,2,160,0,0.3333,0.5161
CM00001061,2026-01-15,V00004284,12,6,206,1,0.5,0.5282
CM00001062,2026-07-20,V00008936,4,3,176,1,0.75,0.6822
CM00001063,2026-07-18,V00010321,15,7,535,1,0.4667,0.4632
CM00001064,2026-05-23,V00014304,9,4,273,1,0.4444,0.8426
CM00001065,2026-04-16,V00005467,12,4,181,0,0.3333,0.7298
CM00001066,2026-07-19,V00008262,12,5,378,1,0.4167,0.922
CM00001067,2026-05-02,V00014906,3,2,29,0,0.6667,0.7632
CM00001068,2026-07-15,V00012517,11,4,252,1,0.3636,0.6429
CM00001069,2026-03-16,V00009528,3,1,41,0,0.3333,0.8723
CM00001070,2026-08-28,V00004292,10,2,74,1,0.2,0.2681
CM00001071,2026-08-18,V00013149,14,4,182,1,0.2857,0.4892
CM00001072,2026-01-30,V00013866,15,2,36,0,0.1333,0.75
CM00001073,2026-04-03,V00001439,8,5,247,1,0.625,0.4891
CM00001074,2026-03-20,V00007805,8,2,148,0,0.25,0.592
CM00001075,2026-01-12,V00009518,11,2,101,0,0.1818,0.481
CM00001076,2026-01-02,V00008240,9,3,241,0,0.3333,0.6751
CM00001077,2026-07-14,V00006841,12,6,265,1,0.5,0.7749
CM00001078,2026-08-03,V00011067,11,5,242,1,0.4545,0.9878
CM00001079,2026-04-18,V00014632,12,3,91,0,0.25,0.2407
CM00001080,2026-01-03,V00005840,13,8,1046,1,0.6154,0.7387
CM00001081,2026-04-02,V00008376,18,7,338,0,0.3889,0.3832
CM00001082,2026-08-07,V00011414,10,4,207,0,0.4,0.2991
CM00001083,2026-06-12,V00011772,8,1,45,0,0.125,0.6716
CM00001084,2026-08-14,V00012606,14,6,633,0,0.4286,0.7226
CM00001085,2026-05-18,V00010193,10,3,107,0,0.3,0.2074
CM00001086,2026-07-01,V00006109,15,9,430,1,0.6,0.4977
CM00001087,2026-08-27,V00011748,4,2,40,0,0.5,0.8333
CM00001088,2026-05-31,V00011397,10,2,43,0,0.2,0.2067
CM00001089,2026-03-14,V00001255,5,0,0,0,0.0,0.0
CM00001090,2026-05-03,V00006630,8,1,57,1,0.125,0.8261
CM00001091,2026-06-29,V00007940,12,6,190,0,0.5,0.6209
CM00001092,2026-01-11,V00005607,12,6,189,0,0.5,0.8289
CM00001093,2026-06-03,V00012782,10,3,22,0,0.3,0.3667
CM00001094,2026-06-22,V00013221,3,1,102,1,0.3333,1.0
CM00001095,2026-08-15,V00008888,7,1,124,0,0.1429,0.7168
CM00001096,2026-06-04,V00007857,9,2,190,0,0.2222,0.7308
CM00001097,2026-07-07,V00002626,6,2,9,0,0.3333,0.5
CM00001098,2026-07-22,V00003821,12,3,97,2,0.25,0.4199
CM00001099,2026-05-15,V00014826,3,0,0,0,0.0,0.0
CM00001100,2026-01-22,V00014072,10,3,150,0,0.3,0.4587
CM00001101,2026-05-02,V00008176,6,3,59,2,0.5,0.7284
CM00001102,2026-05-27,V00002185,10,4,34,0,0.4,0.3696
CM00001103,2026-08-08,V00009054,13,3,443,2,0.2308,0.9844
CM00001104,2026-08-04,V00000605,12,5,518,1,0.4167,0.9505
CM00001105,2026-08-17,V00006721,9,5,357,1,0.5556,0.6865
CM00001106,2026-03-02,V00001942,11,8,384,1,0.7273,0.8276
CM00001107,2026-04-10,V00005293,9,4,268,0,0.4444,0.3785
CM00001108,2026-08-26,V00002601,6,1,52,0,0.1667,0.4062
CM00001109,2026-01-18,V00004908,10,5,504,1,0.5,0.9421
CM00001110,2026-08-28,V00009095,12,3,100,0,0.25,0.2564
CM00001111,2026-04-02,V00004614,10,4,474,1,0.4,0.9046
CM00001112,2026-04-22,V00004724,11,3,170,0,0.2727,0.4393
CM00001113,2026-08-24,V00005184,13,4,524,1,0.3077,0.7892
CM00001114,2026-05-28,V00010598,14,5,767,0,0.3571,0.9131
CM00001115,2026-06-01,V00005838,13,3,203,0,0.2308,0.5286
CM00001116,2026-05-21,V00003965,7,4,125,0,0.5714,0.2404
CM00001117,2026-06-22,V00004622,11,4,354,0,0.3636,0.7832
CM00001118,2026-02-14,V00001450,7,1,41,0,0.1429,0.9111
CM00001119,2026-05-15,V00004052,11,3,127,1,0.2727,0.694
CM00001120,2026-04-01,V00006871,14,4,288,1,0.2857,0.8
CM00001121,2026-06-11,V00014789,9,4,152,0,0.4444,0.475
CM00001122,2026-08-05,V00000890,13,6,243,2,0.4615,0.5062
CM00001123,2026-07-17,V00002583,8,2,121,0,0.25,0.5
CM00001124,2026-04-05,V00003497,10,2,97,1,0.2,0.7348
CM00001125,2026-06-22,V00000582,4,2,90,1,0.5,0.8182
CM00001126,2026-02-03,V00000919,7,5,544,3,0.7143,0.7827
CM00001127,2026-07-15,V00012056,13,8,1206,0,0.6154,0.9136
CM00001128,2026-08-25,V00013740,9,2,24,1,0.2222,0.3333
CM00001129,2026-01-10,V00007487,4,1,48,0,0.25,0.2824
CM00001130,2026-04-05,V00001254,10,6,173,1,0.6,0.8009
CM00001131,2026-05-09,V00014775,5,1,17,0,0.2,0.3617
CM00001132,2026-08-16,V00014017,11,3,132,0,0.2727,0.3667
CM00001133,2026-07-12,V00001274,9,4,382,0,0.4444,0.7579
CM00001134,2026-07-06,V00006505,8,0,0,0,0.0,0.0
CM00001135,2026-01-21,V00006051,15,7,576,1,0.4667,0.6429
CM00001136,2026-04-28,V00004699,9,2,72,0,0.2222,0.6667
CM00001137,2026-07-28,V00000928,12,2,12,0,0.1667,0.375
CM00001138,2026-08-01,V00006418,6,1,21,0,0.1667,0.2838
CM00001139,2026-04-01,V00006383,8,3,89,1,0.375,0.7807
CM00001140,2026-01-27,V00014412,11,6,364,2,0.5455,0.5056
CM00001141,2026-03-23,V00003213,11,2,130,0,0.1818,0.4887
CM00001142,2026-06-06,V00009686,7,2,32,0,0.2857,0.4324
CM00001143,2026-05-28,V00005426,9,1,28,0,0.1111,0.56
CM00001144,2026-06-11,V00013793,10,4,106,0,0.4,0.2624
CM00001145,2026-07-03,V00014390,10,2,16,0,0.2,0.2162
CM00001146,2026-06-04,V00011026,4,1,57,0,0.25,0.4872
CM00001147,2026-01-09,V00011961,11,6,349,1,0.5455,0.8682
CM00001148,2026-06-29,V00011316,9,4,166,1,0.4444,0.477
CM00001149,2026-04-19,V00001802,6,1,37,0,0.1667,0.4157
CM00001150,2026-08-03,V00000648,7,5,515,1,0.7143,0.811
CM00001151,2026-08-18,V00001837,6,2,18,1,0.3333,0.75
CM00001152,2026-07-18,V00008793,8,1,19,1,0.125,0.7308
CM00001153,2026-08-11,V00006793,11,1,66,0,0.0909,0.4615
CM00001154,2026-06-24,V00000795,18,8,224,1,0.4444,0.5833
CM00001155,2026-04-13,V00011672,15,7,1073,0,0.4667,0.886
CM00001156,2026-07-06,V00014557,9,2,194,0,0.2222,0.6554
CM00001157,2026-01-05,V00002838,13,3,16,0,0.2308,0.4444
CM00001158,2026-03-19,V00007638,8,5,170,2,0.625,0.6939
CM00001159,2026-05-20,V00004242,4,3,199,1,0.75,0.3925
CM00001160,2026-03-15,V00014942,9,3,152,1,0.3333,0.539
CM00001161,2026-03-24,V00000124,11,4,221,0,0.3636,0.4977
CM00001162,2026-05-11,V00011584,12,1,21,0,0.0833,0.6176
CM00001163,2026-03-15,V00012285,9,7,22,0,0.7778,0.3929
CM00001164,2026-02-02,V00009126,2,0,0,0,0.0,0.0
CM00001165,2026-03-06,V00013256,6,3,71,0,0.5,0.6068
CM00001166,2026-06-24,V00001783,9,4,261,0,0.4444,0.3686
CM00001167,2026-06-13,V00005783,7,3,38,0,0.4286,0.3423
CM00001168,2026-01-18,V00007751,10,6,292,0,0.6,0.4679
CM00001169,2026-08-21,V00008605,8,2,31,0,0.25,0.5741
CM00001170,2026-06-14,V00007846,15,5,431,1,0.3333,0.7431
CM00001171,2026-05-09,V00005955,5,2,94,1,0.4,0.5663
CM00001172,2026-01-28,V00006796,10,6,121,0,0.6,0.545
CM00001173,2026-05-29,V00010350,9,4,469,1,0.4444,0.7976
CM00001174,2026-01-21,V00004247,11,4,169,1,0.3636,0.4801
CM00001175,2026-06-18,V00008616,6,2,125,0,0.3333,0.8117
CM00001176,2026-07-23,V00000568,9,6,270,1,0.6667,0.6338
CM00001177,2026-02-07,V00001229,13,4,117,1,0.3077,0.9435
CM00001178,2026-04-17,V00013526,9,2,77,1,0.2222,0.5662
CM00001179,2026-04-14,V00014514,6,2,79,1,0.3333,0.3211
CM00001180,2026-03-05,V00011944,11,6,240,0,0.5455,0.5063
CM00001181,2026-08-23,V00009881,8,1,6,0,0.125,0.06
CM00001182,2026-04-08,V00009099,10,4,107,0,0.4,0.4693
CM00001183,2026-02-03,V00000429,10,5,67,0,0.5,0.67
CM00001184,2026-08-14,V00007633,12,7,104,0,0.5833,0.782
CM00001185,2026-01-20,V00000552,12,5,444,0,0.4167,0.596
CM00001186,2026-05-19,V00011587,7,1,68,0,0.1429,0.6733
CM00001187,2026-04-25,V00004385,13,6,513,1,0.4615,0.7308
CM00001188,2026-07-21,V00006766,6,3,26,0,0.5,0.4815
CM00001189,2026-04-12,V00014418,12,3,254,0,0.25,0.7493
CM00001190,2026-07-20,V00007726,8,2,127,1,0.25,0.4536
CM00001191,2026-08-22,V00005281,7,4,44,0,0.5714,0.2245
CM00001192,2026-05-21,V00003807,8,5,246,0,0.625,0.4033
CM00001193,2026-06-21,V00009822,9,5,187,0,0.5556,0.7633
CM00001194,2026-02-14,V00010206,6,1,61,0,0.1667,0.8243
CM00001195,2026-07-28,V00008411,7,5,152,1,0.7143,0.6204
CM00001196,2026-08-06,V00010870,7,3,134,0,0.4286,0.3818
CM00001197,2026-02-28,V00008089,9,4,167,1,0.4444,0.7325
CM00001198,2026-04-25,V00014245,10,2,71,0,0.2,0.3901
CM00001199,2026-02-28,V00011006,8,3,67,1,0.375,0.5317
CM00001200,2026-06-26,V00008694,12,4,248,0,0.3333,0.5
CM00001201,2026-01-26,V00007017,8,2,27,0,0.25,0.5625
CM00001202,2026-01-17,V00012306,7,2,48,0,0.2857,0.2727
CM00001203,2026-05-02,V00014038,9,2,102,0,0.2222,0.6456
CM00001204,2026-08-07,V00008985,11,4,62,1,0.3636,0.5741
CM00001205,2026-08-25,V00011018,6,2,172,0,0.3333,0.9149
CM00001206,2026-04-16,V00011287,12,5,320,0,0.4167,0.6809
CM00001207,2026-04-01,V00003208,3,1,49,0,0.3333,0.3161
CM00001208,2026-06-08,V00004659,10,2,56,0,0.2,0.4828
CM00001209,2026-04-07,V00011870,11,7,502,0,0.6364,0.4539
CM00001210,2026-06-14,V00014685,16,5,473,0,0.3125,0.8298
CM00001211,2026-06-20,V00011370,10,6,761,2,0.6,0.8079
CM00001212,2026-04-10,V00004196,8,1,23,0,0.125,0.4259
CM00001213,2026-05-19,V00010429,6,2,147,0,0.3333,0.7277
CM00001214,2026-02-24,V00008138,14,6,228,0,0.4286,0.6786
CM00001215,2026-05-06,V00005401,8,6,161,1,0.75,0.5709
CM00001216,2026-06-17,V00012594,8,3,220,0,0.375,0.7885
CM00001217,2026-04-27,V00012931,14,5,534,1,0.3571,0.7574
CM00001218,2026-03-23,V00008756,10,4,428,0,0.4,0.7643
CM00001219,2026-06-16,V00010687,9,6,330,3,0.6667,0.8594
CM00001220,2026-08-11,V00009336,8,1,7,1,0.125,0.4118
CM00001221,2026-06-21,V00000914,12,3,142,0,0.25,0.4011
CM00001222,2026-07-06,V00003754,7,3,231,0,0.4286,0.837
CM00001223,2026-06-11,V00010481,11,7,119,2,0.6364,0.34
CM00001224,2026-05-22,V00013107,8,3,357,0,0.375,0.8207
CM00001225,2026-01-25,V00004440,9,7,329,1,0.7778,0.6812
CM00001226,2026-07-23,V00009046,6,2,106,0,0.3333,0.4417
CM00001227,2026-06-05,V00012805,6,3,301,1,0.5,0.6968
CM00001228,2026-05-09,V00014853,13,4,43,2,0.3077,0.3707
CM00001229,2026-08-17,V00009320,4,4,329,0,1.0,0.5239
CM00001230,2026-02-25,V00002412,11,7,77,2,0.6364,0.7333
CM00001231,2026-04-06,V00009607,6,1,99,0,0.1667,0.7279
CM00001232,2026-08-24,V00014773,12,1,72,0,0.0833,0.9474
CM00001233,2026-08-28,V00000882,8,1,3,0,0.125,0.3
CM00001234,2026-03-08,V00009545,13,3,249,1,0.2308,0.5188
CM00001235,2026-02-25,V00005820,17,9,532,1,0.5294,0.6642
CM00001236,2026-08-04,V00008327,11,3,148,0,0.2727,0.4654
CM00001237,2026-05-19,V00012305,7,2,36,0,0.2857,0.4
CM00001238,2026-02-08,V00011007,10,4,154,1,0.4,0.3105
CM00001239,2026-07-28,V00002251,8,3,181,0,0.375,0.3352
CM00001240,2026-07-10,V00000938,12,4,59,0,0.3333,0.4758
CM00001241,2026-05-10,V00003742,6,4,252,0,0.6667,0.6117
CM00001242,2026-07-24,V00014699,16,6,136,1,0.375,0.7083
CM00001243,2026-07-31,V00005771,4,0,0,0,0.0,0.0
CM00001244,2026-03-19,V00007028,15,5,203,1,0.3333,0.7
CM00001245,2026-05-12,V00005150,7,3,189,0,0.4286,0.4038
CM00001246,2026-06-21,V00005502,11,4,77,0,0.3636,0.3377
CM00001247,2026-03-05,V00012549,8,4,363,0,0.5,0.5744
CM00001248,2026-03-07,V00005515,5,1,55,0,0.2,0.4074
CM00001249,2026-01-07,V00009984,4,1,23,0,0.25,0.2255
CM00001250,2026-08-23,V00006035,8,3,167,0,0.375,0.3976
CM00001251,2026-07-07,V00013853,9,5,476,2,0.5556,0.6389
CM00001252,2026-06-17,V00006809,8,1,2,0,0.125,0.0215
CM00001253,2026-08-13,V00002654,9,5,47,2,0.5556,0.3357
CM00001254,2026-08-23,V00014620,8,3,218,0,0.375,0.7569
CM00001255,2026-07-15,V00011146,3,3,329,0,1.0,0.6528
CM00001256,2026-08-24,V00014525,9,5,462,1,0.5556,0.88
CM00001257,2026-04-16,V00006172,10,1,6,0,0.1,0.125
CM00001258,2026-03-11,V00003229,8,3,40,0,0.375,0.6349
CM00001259,2026-01-02,V00012377,6,3,91,0,0.5,0.4596
CM00001260,2026-05-25,V00011251,10,7,52,2,0.7,0.4952
CM00001261,2026-02-25,V00003209,12,5,343,0,0.4167,0.5863
CM00001262,2026-05-05,V00008266,7,3,52,0,0.4286,0.4952
CM00001263,2026-03-05,V00009680,15,3,101,0,0.2,0.4951
CM00001264,2026-08-11,V00008212,9,4,98,2,0.4444,0.4537
CM00001265,2026-06-16,V00004836,6,2,72,0,0.3333,0.5902
CM00001266,2026-04-03,V00011809,7,1,142,1,0.1429,0.8161
CM00001267,2026-06-10,V00008601,10,4,296,0,0.4,0.74
CM00001268,2026-08-14,V00000902,6,1,91,0,0.1667,0.5871
CM00001269,2026-03-27,V00001663,15,6,206,1,0.4,0.296
CM00001270,2026-03-04,V00009335,11,3,383,0,0.2727,0.8685
CM00001271,2026-06-18,V00007615,9,4,93,1,0.4444,0.6838
CM00001272,2026-04-26,V00000259,7,3,109,0,0.4286,0.4129
CM00001273,2026-02-18,V00002741,8,3,49,1,0.375,0.6806
CM00001274,2026-04-02,V00012753,8,1,65,0,0.125,1.0
CM00001275,2026-08-15,V00002565,10,2,113,1,0.2,0.642
CM00001276,2026-03-18,V00001522,11,2,28,0,0.1818,0.3043
CM00001277,2026-07-16,V00009932,7,2,50,0,0.2857,0.625
CM00001278,2026-04-26,V00010343,7,2,255,1,0.2857,0.7456
CM00001279,2026-08-01,V00010992,8,1,14,0,0.125,0.2333
CM00001280,2026-07-09,V00012694,13,5,149,2,0.3846,0.6478
CM00001281,2026-01-06,V00005455,13,6,240,2,0.4615,0.3478
CM00001282,2026-05-11,V00001982,11,4,99,0,0.3636,0.3214
CM00001283,2026-07-18,V00002928,11,6,485,0,0.5455,0.6968
CM00001284,2026-03-06,V00014917,6,2,208,2,0.3333,0.6154
CM00001285,2026-07-26,V00004542,11,7,521,0,0.6364,0.5355
CM00001286,2026-08-22,V00000484,9,1,1,0,0.1111,0.0233
CM00001287,2026-08-10,V00013307,2,2,120,0,1.0,0.5357
CM00001288,2026-02-23,V00009841,13,6,215,1,0.4615,0.4842
CM00001289,2026-02-27,V00008916,9,4,148,0,0.4444,0.74
CM00001290,2026-07-28,V00008887,15,5,119,0,0.3333,0.7933
CM00001291,2026-01-30,V00007249,7,1,46,0,0.1429,0.3538
CM00001292,2026-02-23,V00002298,12,3,166,0,0.25,0.8513
CM00001293,2026-03-10,V00004741,4,0,0,0,0.0,0.0
CM00001294,2026-08-28,V00007074,12,3,97,0,0.25,0.4429
CM00001295,2026-08-15,V00008930,10,5,288,1,0.5,0.5938
CM00001296,2026-01-08,V00008420,7,3,50,1,0.4286,0.6667
CM00001297,2026-06-26,V00004170,10,3,32,1,0.3,0.1067
CM00001298,2026-06-30,V00005107,15,4,138,1,0.2667,0.6273
CM00001299,2026-04-29,V00006709,6,2,233,1,0.3333,0.6813
CM00001300,2026-07-02,V00006651,7,2,134,1,0.2857,0.5038
CM00001301,2026-04-25,V00003061,8,4,583,1,0.5,0.9464
CM00001302,2026-06-30,V00002457,6,2,42,0,0.3333,0.6562
CM00001303,2026-02-21,V00009693,11,3,47,0,0.2727,0.3333
CM00001304,2026-01-01,V00007561,10,4,22,0,0.4,0.5
CM00001305,2026-08-22,V00009596,15,3,13,1,0.2,0.5417
CM00001306,2026-08-28,V00001749,13,5,434,0,0.3846,0.6729
CM00001307,2026-06-17,V00012403,15,3,323,0,0.2,0.6188
CM00001308,2026-04-04,V00007354,9,4,412,0,0.4444,0.6821
CM00001309,2026-07-02,V00007686,9,2,11,0,0.2222,0.4583
CM00001310,2026-08-22,V00014725,9,2,198,0,0.2222,0.6266
CM00001311,2026-06-17,V00014532,11,5,196,0,0.4545,0.4455
CM00001312,2026-06-08,V00010482,3,2,215,0,0.6667,0.8022
CM00001313,2026-03-18,V00000110,12,3,101,0,0.25,0.5101
CM00001314,2026-05-21,V00006105,8,3,100,0,0.375,0.7092
CM00001315,2026-07-25,V00007889,14,0,0,0,0.0,0.0
CM00001316,2026-06-05,V00008185,6,0,0,0,0.0,0.0
CM00001317,2026-06-09,V00010937,5,0,0,0,0.0,0.0
CM00001318,2026-06-09,V00013588,10,3,117,0,0.3,0.4105
CM00001319,2026-04-26,V00007985,8,2,255,0,0.25,0.8173
